finishing_position;horse_number;horse_name;horse_id;jockey;trainer;actual_weight;declared_horse_weight;draw;running_position_1;running_position_2;running_position_3;finish_time;finish_time_seconds;race_id;father;mother;gfather
9;6;FANTASTIC FABIO;V364;C Y Ho;C H Yip;120;1116;6;3;4;9;0.57.94;57,094;2016-102;HIDDEN DRAGON;FANTASTIC FLO JO;FANTASTIC LIGHT
9;14;FANTASTIC FABIO;V364;W M Lai;C H Yip;113;1101;7;11;10;9;0.58.36;58,036;2016-680;HIDDEN DRAGON;FANTASTIC FLO JO;FANTASTIC LIGHT
10;8;FANTASTIC FABIO;V364;Z Purton;C H Yip;121;1134;8;11;9;10;0.58.52;58,052;2016-244;HIDDEN DRAGON;FANTASTIC FLO JO;FANTASTIC LIGHT
10;12;FANTASTIC FABIO;V364;C Y Ho;C H Yip;114;1141;3;10;11;10;0.59.11;59,011;2016-327;HIDDEN DRAGON;FANTASTIC FLO JO;FANTASTIC LIGHT
12;1;FANTASTIC FABIO;V364;H N Wong;C H Yip;126;1076;3;9;10;12;0.59.20;59,02;2016-473;HIDDEN DRAGON;FANTASTIC FLO JO;FANTASTIC LIGHT
4;2;FANTASTIC FEELING;T273;G Lerena;D E Ferraris;131;1169;7;6;6;4;0.57.32;57,032;2015-652;SHOW A HEART;TWIRLING HEIGHTS;SPINNING WORLD
10;2;FANTASTIC FEELING;T273;N Callan;D E Ferraris;130;1167;3;5;4;10;0.58.27;58,027;2015-702;SHOW A HEART;TWIRLING HEIGHTS;SPINNING WORLD
11;2;FANTASTIC FEELING;T273;S Clipperton;D E Ferraris;128;1220;11;8;10;11;1.09.42;69,042;2016-550;SHOW A HEART;TWIRLING HEIGHTS;SPINNING WORLD
1;5;FANTASTIC FEELING;T273;S Clipperton;D E Ferraris;128;1207;3;5;5;1;1.09.74;69,074;2016-642;SHOW A HEART;TWIRLING HEIGHTS;SPINNING WORLD
2;4;FANTASTIC FEELING;T273;M F Poon;D E Ferraris;121;1206;6;8;7;2;1.09.89;69,089;2016-747;SHOW A HEART;TWIRLING HEIGHTS;SPINNING WORLD
2;8;FANTASTIC FEELING;T273;K Teetan;D E Ferraris;118;1158;12;8;8;2;1.10.26;70,026;2015-168;SHOW A HEART;TWIRLING HEIGHTS;SPINNING WORLD
3;2;FANTASTIC FEELING;T273;D Whyte;D E Ferraris;131;1211;3;4;4;3;1.10.29;70,029;2016-230;SHOW A HEART;TWIRLING HEIGHTS;SPINNING WORLD
1;4;FANTASTIC FEELING;T273;D Whyte;D E Ferraris;126;1194;11;11;11;1;1.10.35;70,035;2016-101;SHOW A HEART;TWIRLING HEIGHTS;SPINNING WORLD
11;4;FANTASTIC FEELING;T273;D Whyte;D E Ferraris;123;1120;7;5;4;11;1.10.44;70,044;2014-733;SHOW A HEART;TWIRLING HEIGHTS;SPINNING WORLD
1;5;FANTASTIC FEELING;T273;R Moore;D E Ferraris;125;1179;7;8;7;1;1.10.45;70,045;2015-375;SHOW A HEART;TWIRLING HEIGHTS;SPINNING WORLD
5;5;FANTASTIC FEELING;T273;D Whyte;D E Ferraris;121;1124;10;4;4;5;1.10.47;70,047;2014-707;SHOW A HEART;TWIRLING HEIGHTS;SPINNING WORLD
3;4;FANTASTIC FEELING;T273;K Teetan;D E Ferraris;128;1170;10;9;7;3;1.10.67;70,067;2015-327;SHOW A HEART;TWIRLING HEIGHTS;SPINNING WORLD
7;1;FANTASTIC FEELING;T273;K Teetan;D E Ferraris;133;1172;2;6;6;7;1.10.74;70,074;2015-488;SHOW A HEART;TWIRLING HEIGHTS;SPINNING WORLD
3;9;FANTASTIC FEELING;T273;D Whyte;D E Ferraris;120;1136;3;4;4;3;1.10.74;70,074;2015-035;SHOW A HEART;TWIRLING HEIGHTS;SPINNING WORLD
8;2;FANTASTIC FEELING;T273;S Clipperton;D E Ferraris;131;1225;7;9;8;8;1.10.77;70,077;2016-407;SHOW A HEART;TWIRLING HEIGHTS;SPINNING WORLD
6;1;FANTASTIC FEELING;T273;D Whyte;D E Ferraris;133;1223;8;5;6;6;1.10.81;70,081;2016-478;SHOW A HEART;TWIRLING HEIGHTS;SPINNING WORLD
1;8;FANTASTIC FEELING;T273;K Teetan;D E Ferraris;119;1154;1;3;4;1;1.10.83;70,083;2015-222;SHOW A HEART;TWIRLING HEIGHTS;SPINNING WORLD
7;3;FANTASTIC FEELING;T273;D Whyte;D E Ferraris;128;1179;10;6;7;7;1.10.85;70,085;2016-044;SHOW A HEART;TWIRLING HEIGHTS;SPINNING WORLD
9;9;FANTASTIC FEELING;T273;R Moore;D E Ferraris;128;1178;6;7;9;9;1.11.03;71,003;2015-433;SHOW A HEART;TWIRLING HEIGHTS;SPINNING WORLD
6;2;FANTASTIC FEELING;T273;S Clipperton;D E Ferraris;132;1223;2;8;8;6;1.11.11;71,011;2016-313;SHOW A HEART;TWIRLING HEIGHTS;SPINNING WORLD
5;6;FANTASTIC FLO JO;H_MOTH_087;O. Murphy;Sir Michael Stoute;121;1057;7;4;1;2;1.53;111;2011-387;FANTASTIC LIGHT;DAM OF FANTASTIC FLO JO;SECRETARIAT
5;4;FANTASTIC LIGHT;H_GFATH_072;Legacy Jockey;Legacy Trainer;128;1100;12;1;5;5;2.03;136;2004-604;NEARCO;DAM OF FANTASTIC LIGHT;HYPERION
6;8;FANTASTIC SHOW;A207;C Y Ho;Y S Tsui;118;1042;4;8;6;6;0.58.44;58,044;2016-643;NOT A SINGLE DOUBT;EVOKED;SONG OF TARA
1;10;FANTASTIC SHOW;A207;J Moreira;Y S Tsui;117;1040;1;11;9;1;1.09.97;69,097;2016-779;NOT A SINGLE DOUBT;EVOKED;SONG OF TARA
1;7;FASLIYEV;H_GFATH_107;Legacy Jockey;Legacy Trainer;128;1167;2;2;3;5;2.04;122;1998-936;NATIVE DANCER;DAM OF FASLIYEV;NASRULLAH
1;11;FASTNET ROCK;H_GFATH_019;Legacy Jockey;Legacy Trainer;128;1175;2;8;4;6;2.18;136;2004-669;SADLER'S WELLS;DAM OF FASTNET ROCK;BOLD RULER
4;1;FASTNET ROCK;H_FATH_079;L. Dettori;John Gosden;126;1150;3;3;4;3;1.50;98;2009-107;SADLER'S WELLS;DAM OF FASTNET ROCK;BOLD RULER
3;8;FATH;H_FATH_095;L. Dettori;C. Appleby;126;1126;3;1;3;2;1.58;108;2006-144;SADLER'S WELLS;DAM OF FATH;BOLD RULER
3;8;FINE JADE;H_MOTH_089;W. Buick;W. Haggas;121;1052;4;6;4;2;1.49;98;2010-370;JADE HUNTER;DAM OF FINE JADE;SECRETARIAT
4;2;FIRE SONG;H_MOTH_084;J. Doyle;W. Haggas;121;1051;12;1;1;3;1.39;107;2012-379;SENOR PETE;DAM OF FIRE SONG;MR. PROSPECTOR
4;6;FLECHE RESTEE;H_MOTH_204;W. Buick;Sir Michael Stoute;121;1071;1;2;2;2;1.41;118;2009-312;RESTE TRANQUILLE;DAM OF FLECHE RESTEE;MR. PROSPECTOR
6;9;FLEUR DE LION;H_MOTH_170;O. Murphy;M. Johnston;121;1056;5;2;1;1;1.47;113;2012-582;TALE OF THE CAT;DAM OF FLEUR DE LION;MR. PROSPECTOR
6;12;FLION FENENA;H_MOTH_133;J. Doyle;M. Johnston;121;1042;2;1;2;1;1.40;110;2009-478;LION HUNTER;DAM OF FLION FENENA;SECRETARIAT
4;11;FLUTTER;H_MOTH_059;J. Doyle;M. Johnston;121;1074;9;4;2;2;1.49;106;2009-380;SAVABEEL;DAM OF FLUTTER;SECRETARIAT
6;3;FLYING COLORS;H_MOTH_125;O. Murphy;M. Johnston;121;1076;4;1;1;2;1.59;98;2012-497;TEOFILO;DAM OF FLYING COLORS;SECRETARIAT
6;2;FLYING GODSPELL;V376;H T Mo;Y S Tsui;118;1067;3;4;5;6;0.57.70;57,07;2016-653;PER INCANTO;GODSPELL;XAAR
2;7;FLYING GODSPELL;V376;N Rawiller;Y S Tsui;125;1071;11;1;1;2;1.08.86;68,086;2016-234;PER INCANTO;GODSPELL;XAAR
6;3;FLYING GODSPELL;V376;J Moreira;Y S Tsui;127;1055;7;3;3;6;1.09.53;69,053;2016-319;PER INCANTO;GODSPELL;XAAR
1;7;FLYING GODSPELL;V376;K K Chiong;Y S Tsui;122;1074;8;1;1;1;1.09.70;69,07;2016-392;PER INCANTO;GODSPELL;XAAR
9;3;FLYING GODSPELL;V376;C Y Ho;Y S Tsui;127;1076;3;2;5;9;1.10.09;70,009;2016-693;PER INCANTO;GODSPELL;XAAR
8;8;FLYING GODSPELL;V376;O Bosson;Y S Tsui;125;1082;2;3;4;8;1.10.11;70,011;2016-177;PER INCANTO;GODSPELL;XAAR
10;1;FLYING GODSPELL;V376;H N Wong;Y S Tsui;126;1070;4;2;1;10;1.10.29;70,029;2016-458;PER INCANTO;GODSPELL;XAAR
9;1;FLYING GODSPELL;V376;H N Wong;Y S Tsui;126;1073;2;1;1;9;1.10.30;70,03;2016-549;PER INCANTO;GODSPELL;XAAR
10;1;FLYING GODSPELL;V376;N Rawiller;Y S Tsui;133;1067;6;3;3;10;1.11.13;71,013;2016-511;PER INCANTO;GODSPELL;XAAR
2;5;FLYING MONKEY;T361;B Prebble;W Y So;125;1092;2;4;3;2;0.56.93;56,093;2015-328;PINS;DANDIFY;DANEHILL
2;2;FLYING MONKEY;T361;J Moreira;W Y So;133;1056;5;2;2;2;0.57.25;57,025;2016-620;PINS;DANDIFY;DANEHILL
7;2;FLYING MONKEY;T361;B Prebble;W Y So;129;1087;9;2;2;7;0.57.57;57,057;2015-402;PINS;DANDIFY;DANEHILL
7;13;FLYING MONKEY;T361;H N Wong;W Y So;108;1055;8;2;5;7;0.57.78;57,078;2016-649;PINS;DANDIFY;DANEHILL
6;11;FLYING MONKEY;T361;C Schofield;W Y So;115;1054;4;6;8;6;0.57.93;57,093;2016-677;PINS;DANDIFY;DANEHILL
2;10;FLYING MONKEY;T361;Y T Cheng;W Y So;124;1064;1;1;1;2;1.10.27;70,027;2015-736;PINS;DANDIFY;DANEHILL
2;7;FLYING MONKEY;T361;J Moreira;W Y So;124;1064;9;1;1;2;1.10.42;70,042;2015-769;PINS;DANDIFY;DANEHILL
5;6;FLYING MONKEY;T361;C Schofield;W Y So;122;1061;5;4;3;5;1.10.42;70,042;2015-530;PINS;DANDIFY;DANEHILL
2;7;FLYING MONKEY;T361;Y T Cheng;W Y So;123;1063;8;1;1;2;1.10.43;70,043;2015-680;PINS;DANDIFY;DANEHILL
9;12;FLYING MONKEY;T361;C Schofield;W Y So;116;1060;13;2;3;9;1.10.52;70,052;2016-704;PINS;DANDIFY;DANEHILL
1;5;FLYING MONKEY;T361;J Moreira;W Y So;125;1070;7;2;2;1;1.10.78;70,078;2016-012;PINS;DANDIFY;DANEHILL
2;2;FLYING MONKEY;T361;J Moreira;W Y So;131;1075;6;1;1;2;1.11.00;71;2016-077;PINS;DANDIFY;DANEHILL
12;1;FLYING NOBLE;A267;K C Ng;C H Yip;118;1147;3;7;10;12;0.58.41;58,041;2016-715;EKRAAR;KEEPERINTHEMYST;KEEPER
14;3;FLYING NOBLE;A267;T H So;C H Yip;124;1141;6;10;11;14;0.59.30;59,03;2016-680;EKRAAR;KEEPERINTHEMYST;KEEPER
4;10;FLYING NOBLE;A267;K C Leung;C H Yip;120;1146;2;8;7;4;1.09.85;69,085;2016-773;EKRAAR;KEEPERINTHEMYST;KEEPER
11;11;FLYING QUEST;A071;T H So;D J Hall;122;1036;2;13;12;11;0.56.43;56,043;2016-557;ALAMOSA;ENCHANT;PENTIRE
8;3;FLYING QUEST;A071;C Y Ho;D J Hall;125;1043;9;12;11;8;0.57.86;57,086;2016-649;ALAMOSA;ENCHANT;PENTIRE
1;6;FLYING QUEST;A071;C Schofield;D J Hall;123;1041;7;10;9;1;1.09.81;69,081;2016-794;ALAMOSA;ENCHANT;PENTIRE
8;5;FLYING QUEST;A071;M F Poon;D J Hall;117;1033;1;12;11;8;1.10.16;70,016;2016-778;ALAMOSA;ENCHANT;PENTIRE
5;14;FLYING RED;P382;K Teetan;J Size;114;1171;2;6;6;5;1.10.06;70,006;2014-112;AMARILLO;AMERICAN ANGEL;AMERICAN POST
1;4;FLYING RED;P382;J Moreira;J Size;130;1173;5;4;3;1;1.10.24;70,024;2014-224;AMARILLO;AMERICAN ANGEL;AMERICAN POST
11;14;FLYING RED;P382;K Teetan;J Size;114;1171;6;3;4;11;1.10.51;70,051;2014-014;AMARILLO;AMERICAN ANGEL;AMERICAN POST
7;12;FLYING RED;P382;M Demuro;J Size;115;1194;11;12;10;7;1.10.59;70,059;2014-415;AMARILLO;AMERICAN ANGEL;AMERICAN POST
4;11;FLYING RED;P382;M Demuro;J Size;115;1187;8;7;6;4;1.10.96;70,096;2014-367;AMARILLO;AMERICAN ANGEL;AMERICAN POST
4;6;FLYING SPUR;H_GFATH_000;Legacy Jockey;Legacy Trainer;128;1152;5;3;1;5;2.15;126;2002-953;NEARCO;DAM OF FLYING SPUR;HYPERION
1;1;FOLICHONNE;H_MOTH_026;O. Murphy;W. Haggas;121;1073;4;2;3;3;1.41;119;2008-382;DENON;DAM OF FOLICHONNE;MR. PROSPECTOR
3;11;FORMER GLORY;H_MOTH_193;W. Buick;M. Johnston;121;1023;11;4;3;3;1.48;107;2012-499;DYNAFORMER;DAM OF FORMER GLORY;SECRETARIAT
14;3;FORTUNE PATROL;A245;K C Ng;P O'Sullivan;124;1061;5;14;14;14;0.58.62;58,062;2016-705;RIP VAN WINKLE;GWYLLION;RED RANSOM
5;7;FOURSTARS ALLSTAR;H_GFATH_059;Legacy Jockey;Legacy Trainer;128;1128;9;7;3;3;2.15;135;1999-910;NATIVE DANCER;DAM OF FOURSTARS ALLSTAR;NASRULLAH
2;9;FOXWEDGE;H_FATH_059;C. Soumillon;John Gosden;126;1148;8;4;4;3;1.53;103;2009-182;SADLER'S WELLS;DAM OF FOXWEDGE;BOLD RULER
3;4;FRABJOUS;H_MOTH_094;O. Murphy;M. Johnston;121;1039;12;4;4;1;1.49;114;2012-546;PIVOTAL;DAM OF FRABJOUS;MR. PROSPECTOR
4;5;FRANKEL;H_FATH_092;R. Moore;John Gosden;126;1105;7;4;1;1;1.47;113;2008-191;NORTHERN DANCER;DAM OF FRANKEL;NEARCO
7;3;FRUITION;V178;N Rawiller;J Size;126;1064;3;2;5;7;0.58.80;58,08;2015-601;OASIS DREAM;ANANAS;NAYEF
3;5;FUSAICHI PEGASUS;H_GFATH_125;Legacy Jockey;Legacy Trainer;128;1174;2;7;7;2;2.00;121;1998-898;NATIVE DANCER;DAM OF FUSAICHI PEGASUS;NASRULLAH
2;10;GALILEO;H_GFATH_014;Legacy Jockey;Legacy Trainer;128;1179;11;5;5;5;2.06;140;1998-944;SADLER'S WELLS;DAM OF GALILEO;BOLD RULER
5;2;GALILEO;H_FATH_107;R. Moore;C. Appleby;126;1108;10;1;3;2;1.55;95;2010-115;SADLER'S WELLS;DAM OF GALILEO;BOLD RULER
6;9;GARDEN CITY;H_MOTH_173;O. Murphy;Sir Michael Stoute;121;1067;7;3;2;4;1.36;103;2007-526;MAJORIEN;DAM OF GARDEN CITY;SECRETARIAT
12;8;GARLIC YEAH;V039;H N Wong;C H Yip;115;988;12;6;8;12;0.58.82;58,082;2015-111;SAVABEEL;EDEN;ZEDITAVE
13;9;GARLIC YEAH;V039;O Bosson;C H Yip;123;993;4;14;12;13;1.10.56;70,056;2015-668;SAVABEEL;EDEN;ZEDITAVE
11;13;GARLIC YEAH;V039;K C Ng;C H Yip;116;978;1;12;12;11;1.10.61;70,061;2015-777;SAVABEEL;EDEN;ZEDITAVE
5;8;GEMADAILY;H_MOTH_027;O. Murphy;W. Haggas;121;1083;1;1;4;4;1.42;101;2010-599;STRATEGIC;DAM OF GEMADAILY;SECRETARIAT
5;10;GENERAL DINO;A193;K Teetan;D E Ferraris;120;1026;14;13;13;5;1.10.41;70,041;2016-542;DOCTOR DINO;ARTHURS PRINCESS;MONASHEE MOUNTAIN
2;9;GHOSTZAPPER;H_FATH_134;L. Dettori;C. Appleby;126;1134;9;3;1;2;1.44;100;2008-154;NORTHERN DANCER;DAM OF GHOSTZAPPER;NEARCO
6;8;GIANT'S CAUSEWAY;H_GFATH_131;Legacy Jockey;Legacy Trainer;128;1100;11;7;6;2;2.00;139;2002-787;NATIVE DANCER;DAM OF GIANT'S CAUSEWAY;NASRULLAH
1;5;GIANT'S CAUSEWAY;H_FATH_100;R. Moore;A. P. O'Brien;126;1092;4;5;2;2;1.49;106;2006-271;NATIVE DANCER;DAM OF GIANT'S CAUSEWAY;NASRULLAH
10;3;GLORY STAR;T336;K C Leung;C S Shum;128;1114;4;11;12;10;1.11.05;71,005;2015-131;MY RISK;ROSE STAR;PASSING SALE
1;12;GODSPELL;H_MOTH_068;O. Murphy;Sir Michael Stoute;121;1046;7;2;5;3;1.59;104;2012-495;XAAR;DAM OF GODSPELL;MR. PROSPECTOR
8;6;GOLAN;H_GFATH_051;Legacy Jockey;Legacy Trainer;128;1139;8;2;2;6;2.19;122;2005-744;NATIVE DANCER;DAM OF GOLAN;NASRULLAH
6;7;GOLD FLO;H_MOTH_071;O. Murphy;Sir Michael Stoute;121;1045;6;2;4;2;1.50;112;2011-473;FOURSTARS ALLSTAR;DAM OF GOLD FLO;SECRETARIAT
8;7;GOLDEN CANNON;T022;K K Chiong;K W Lui;119;951;8;5;8;8;0.58.34;58,034;2016-563;DANZERO;DANCE HIT;TIGHTS
4;9;GOLDEN CANNON;T022;M F Poon;K W Lui;111;950;5;5;5;4;1.09.94;69,094;2016-770;DANZERO;DANCE HIT;TIGHTS
9;6;GOLDEN CANNON;T022;Y T Cheng;D Cruz;124;978;11;8;8;9;1.10.71;70,071;2015-310;DANZERO;DANCE HIT;TIGHTS
9;9;GOLDEN CANNON;T022;Y T Cheng;D Cruz;123;976;6;2;2;9;1.10.79;70,079;2015-284;DANZERO;DANCE HIT;TIGHTS
7;8;GOLDEN CANNON;T022;K C Leung;K W Lui;120;950;10;6;7;7;1.10.85;70,085;2016-716;DANZERO;DANCE HIT;TIGHTS
9;13;GOLDEN CANNON;T022;M Chadwick;D Cruz;123;972;12;7;5;9;1.10.87;70,087;2015-416;DANZERO;DANCE HIT;TIGHTS
7;10;GOLDEN GLORY;T076;T H So;D E Ferraris;113;1041;11;7;6;7;0.57.28;57,028;2014-360;PATAPAN;VICTORIA BAY;KINGDOM BAY
8;8;GOLDEN GLORY;T076;T H So;D E Ferraris;118;1030;3;8;8;8;0.57.40;57,04;2014-387;PATAPAN;VICTORIA BAY;KINGDOM BAY
8;14;GOLDEN GLORY;T076;H T Mo;A Lee;106;1069;14;5;10;8;0.57.87;57,087;2016-214;PATAPAN;VICTORIA BAY;KINGDOM BAY
5;3;GOLDEN GLORY;T076;K Teetan;T P Yung;131;1077;6;8;8;5;0.57.94;57,094;2016-473;PATAPAN;VICTORIA BAY;KINGDOM BAY
2;4;GOLDEN GLORY;T076;K C Leung;T P Yung;128;1075;4;5;5;2;1.10.28;70,028;2016-528;PATAPAN;VICTORIA BAY;KINGDOM BAY
4;11;GOLDEN GLORY;T076;K Teetan;A Lee;113;1046;2;5;5;4;1.10.44;70,044;2015-598;PATAPAN;VICTORIA BAY;KINGDOM BAY
4;2;GOLDEN GLORY;T076;K Teetan;A Lee;132;1048;10;1;1;4;1.10.71;70,071;2015-679;PATAPAN;VICTORIA BAY;KINGDOM BAY
5;1;GOLDEN GLORY;T076;K Teetan;A Lee;132;1054;4;2;3;5;1.10.97;70,097;2015-632;PATAPAN;VICTORIA BAY;KINGDOM BAY
4;2;GOLDEN HORN;H_FATH_025;C. Soumillon;A. P. O'Brien;126;1085;10;1;4;3;1.53;113;2007-233;SADLER'S WELLS;DAM OF GOLDEN HORN;BOLD RULER
12;10;GOLDEN KID;V232;W M Lai;T K Ng;118;1088;6;11;13;12;0.58.86;58,086;2016-649;HOLY ROMAN EMPEROR;LACANDONA;SEPTIEME CIEL
10;12;GOLDEN KID;V232;M L Yeung;T K Ng;116;1083;1;12;11;10;1.10.72;70,072;2016-784;HOLY ROMAN EMPEROR;LACANDONA;SEPTIEME CIEL
7;11;GOLDEN KID;V232;W M Lai;T K Ng;120;1083;9;11;11;7;1.11.04;71,004;2016-694;HOLY ROMAN EMPEROR;LACANDONA;SEPTIEME CIEL
1;9;GOLDIE FLANKER;V161;S Clipperton;P O'Sullivan;121;1184;7;11;9;1;1.09.06;69,006;2016-693;RIP VAN WINKLE;SHOWUSYOURPINS;PINS
1;12;GOLDIE FLANKER;V161;T H So;P O'Sullivan;113;1193;4;12;10;1;1.09.13;69,013;2016-594;RIP VAN WINKLE;SHOWUSYOURPINS;PINS
1;5;GOLDIE FLANKER;V161;T H So;P O'Sullivan;128;1202;11;11;11;1;1.09.15;69,015;2016-545;RIP VAN WINKLE;SHOWUSYOURPINS;PINS
7;1;GOLDIE FLANKER;V161;S Clipperton;P O'Sullivan;133;1189;9;12;11;7;1.09.80;69,08;2016-755;RIP VAN WINKLE;SHOWUSYOURPINS;PINS
10;5;GOLDIE FLANKER;V161;C Y Ho;P O'Sullivan;123;1196;7;10;10;10;1.10.21;70,021;2015-686;RIP VAN WINKLE;SHOWUSYOURPINS;PINS
11;5;GOLDIE FLANKER;V161;N Rawiller;P O'Sullivan;125;1206;13;10;11;11;1.10.42;70,042;2015-745;RIP VAN WINKLE;SHOWUSYOURPINS;PINS
3;2;GOLDNEYEV;H_GFATH_021;Legacy Jockey;Legacy Trainer;128;1149;11;6;5;4;2.13;139;2000-955;NATIVE DANCER;DAM OF GOLDNEYEV;NASRULLAH
5;8;GOOD FOR YOU;T265;Y T Cheng;Y S Tsui;120;1009;2;7;7;5;0.57.74;57,074;2014-634;THORN PARK;LA SERENISSIME;MACHIAVELLIAN
2;8;GOOD MAN;V030;Z Purton;P O'Sullivan;126;1208;7;1;1;2;1.10.05;70,005;2015-312;NEW APPROACH;GARDEN CITY;MAJORIEN
3;2;GOOD MAN;V030;Z Purton;P O'Sullivan;132;1177;8;2;2;3;1.10.57;70,057;2015-721;NEW APPROACH;GARDEN CITY;MAJORIEN
2;3;GOOD MAN;V030;Z Purton;P O'Sullivan;128;1194;5;2;2;2;1.10.72;70,072;2015-477;NEW APPROACH;GARDEN CITY;MAJORIEN
9;1;GOOD MAN;V030;Z Purton;P O'Sullivan;126;1184;2;5;6;9;1.10.80;70,08;2015-530;NEW APPROACH;GARDEN CITY;MAJORIEN
2;6;GOOD MAN;V030;Z Purton;P O'Sullivan;127;1194;8;1;1;2;1.10.93;70,093;2015-421;NEW APPROACH;GARDEN CITY;MAJORIEN
1;7;GRACIOUS RYDER;A179;M F Poon;D J Hall;113;1081;9;8;8;1;1.09.98;69,098;2016-729;TICKETS;FLEUR DE LION;TALE OF THE CAT
6;4;GRACIOUS RYDER;A179;S Clipperton;D J Hall;126;1089;7;8;8;6;1.10.46;70,046;2016-792;TICKETS;FLEUR DE LION;TALE OF THE CAT
4;7;GRACIOUS RYDER;A179;K Teetan;D J Hall;125;1080;3;9;9;4;1.10.61;70,061;2016-449;TICKETS;FLEUR DE LION;TALE OF THE CAT
5;9;GRACIOUS RYDER;A179;S Clipperton;D J Hall;123;1088;4;6;5;5;1.10.88;70,088;2016-663;TICKETS;FLEUR DE LION;TALE OF THE CAT
4;6;GRADE ONE;A010;Z Purton;P O'Sullivan;128;1174;6;5;4;4;1.09.27;69,027;2016-456;MANHATTAN RAIN;ZIPANESE;BELLOTTO
2;6;GRADE ONE;A010;A Badel;P O'Sullivan;125;1177;6;3;3;2;1.09.62;69,062;2016-348;MANHATTAN RAIN;ZIPANESE;BELLOTTO
7;5;GRADE ONE;A010;K C Leung;P O'Sullivan;125;1184;9;12;11;7;1.11.03;71,003;2016-511;MANHATTAN RAIN;ZIPANESE;BELLOTTO
5;11;GRAND HARBOUR;P421;K Teetan;C W Chang;116;1194;5;6;5;5;1.09.18;69,018;2016-219;SAVABEEL;HABERDASHERY;PINS
2;1;GRAND HARBOUR;P421;O Doleuze;C W Chang;133;1181;12;4;3;2;1.09.77;69,077;2016-150;SAVABEEL;HABERDASHERY;PINS
9;12;GRAND HARBOUR;P421;W M Lai;C W Chang;119;1190;12;10;9;9;1.10.32;70,032;2016-587;SAVABEEL;HABERDASHERY;PINS
6;9;GRAND HARBOUR;P421;K C Leung;J Moore;118;1207;8;5;4;6;1.10.68;70,068;2015-488;SAVABEEL;HABERDASHERY;PINS
2;11;GRAND PRINCESS;H_MOTH_189;W. Buick;M. Johnston;121;1021;4;3;5;3;1.57;117;2010-441;LAST TYCOON;DAM OF GRAND PRINCESS;SECRETARIAT
6;2;GRAND SLAM;H_GFATH_120;Legacy Jockey;Legacy Trainer;128;1118;1;5;7;4;2.02;137;1998-841;JEREMY;KNOCKALANE;EXECUTIVE PERK
5;7;GREAT SPIRIT;P037;N Callan;P F Yiu;120;1035;7;8;7;5;1.08.11;68,011;2014-138;DROSSELMEYER;ULTIMATE HEIGHTS;KNOW HEIGHTS
7;10;GREAT SPIRIT;P037;K C Leung;P F Yiu;114;1052;3;11;9;7;1.08.21;68,021;2014-625;DROSSELMEYER;ULTIMATE HEIGHTS;KNOW HEIGHTS
1;9;GREAT SPIRIT;P037;K C Leung;P F Yiu;116;1063;11;9;8;1;1.08.55;68,055;2015-118;DROSSELMEYER;ULTIMATE HEIGHTS;KNOW HEIGHTS
3;3;GREAT SPIRIT;P037;M Demuro;P F Yiu;128;1058;7;6;5;3;1.08.60;68,06;2014-222;DROSSELMEYER;ULTIMATE HEIGHTS;KNOW HEIGHTS
4;7;GREAT SPIRIT;P037;N Callan;P F Yiu;121;1029;12;10;9;4;1.08.62;68,062;2014-046;DROSSELMEYER;ULTIMATE HEIGHTS;KNOW HEIGHTS
7;8;GREAT SPIRIT;P037;K C Leung;P F Yiu;114;1082;2;5;4;7;1.08.87;68,087;2015-336;DROSSELMEYER;ULTIMATE HEIGHTS;KNOW HEIGHTS
2;5;GREAT SPIRIT;P037;U Rispoli;P F Yiu;118;1052;6;6;5;2;1.09.25;69,025;2014-334;DROSSELMEYER;ULTIMATE HEIGHTS;KNOW HEIGHTS
5;2;GREAT SPIRIT;P037;K C Leung;P F Yiu;130;1061;7;10;9;5;1.09.26;69,026;2015-232;DROSSELMEYER;ULTIMATE HEIGHTS;KNOW HEIGHTS
8;7;GREAT SPIRIT;P037;K C Leung;P F Yiu;125;1067;2;4;3;8;1.09.53;69,053;2015-044;DROSSELMEYER;ULTIMATE HEIGHTS;KNOW HEIGHTS
4;3;GREAT SPIRIT;P037;M Demuro;P F Yiu;126;1049;10;9;8;4;1.09.75;69,075;2014-193;DROSSELMEYER;ULTIMATE HEIGHTS;KNOW HEIGHTS
4;3;GREAT SPIRIT;P037;U Rispoli;P F Yiu;123;1056;2;7;5;4;1.09.82;69,082;2014-390;DROSSELMEYER;ULTIMATE HEIGHTS;KNOW HEIGHTS
10;1;GREAT TREASURE;T380;D Whyte;T K Ng;123;1008;13;14;13;10;1.10.48;70,048;2015-297;HUSSON;RUSSIAN BELLE;STRAVINSKY
4;4;GREEN CARD;V126;Z Purton;J Moore;125;1139;11;10;10;4;1.08.66;68,066;2015-782;PROUD CITIZEN;CASUARINA;MENIFEE
3;8;GREEN CARD;V126;D Whyte;J Moore;125;1169;3;5;5;3;1.09.07;69,007;2015-572;PROUD CITIZEN;CASUARINA;MENIFEE
6;10;GREEN CARD;V126;S Clipperton;J Moore;126;1183;11;10;10;6;1.09.20;69,02;2016-469;PROUD CITIZEN;CASUARINA;MENIFEE
5;1;GREEN CARD;V126;S Clipperton;J Moore;133;1157;12;11;10;5;1.09.47;69,047;2016-126;PROUD CITIZEN;CASUARINA;MENIFEE
